drain_rate,entry_threshold,exit_threshold,video_bitrate,window_size,score,avg_streaming,avg_fp,working_packets_01,working_packets_02,working_packets_03,youtube_packets_03,youtube_packets_02,youtube_packets_01,insta_packets_01,insta_packets_02
0.3,15.0,0.0,560000,5,18.748476494523143,42.7313493052152,11.991436405346027,30.12623964417837,5.848069571859711,0.0,28.508137047768113,37.891415005155714,32.39631090638607,55.13376415327744,59.72711941348866
0.4,20.0,0.0,400000,5,18.59038783499696,43.54107091696308,12.47534154098306,31.577955051089468,5.848069571859711,0.0,29.542702741345693,38.64945234540217,33.06535645349795,56.720723631080936,59.72711941348866
0.4,10.0,0.0,400000,5,18.213284626166732,50.32365274709757,16.055184060465418,34.599172854575436,13.566379326820815,0.0,36.164479083877296,40.405719045658074,37.838432451852604,71.03715788046114,66.17247527363874
0.7,15.0,0.0,750000,5,18.126423913125517,24.273677643202397,3.0736268650384395,7.573993388299962,1.6468872068153566,0.0,16.022204691156166,0.0,29.459796084432398,50.494325330402226,25.392062110021197
0.5,20.0,0.0,750000,5,18.058973076257715,25.171537586531624,3.5562822551369546,10.668846765410864,0.0,0.0,17.79740337209382,0.0,29.459796084432398,50.494325330402226,28.106163145729667
0.6,20.0,0.0,750000,5,17.932895009191345,23.736242610284332,2.901673800546494,8.705021401639483,0.0,0.0,16.11808466001173,0.0,27.57452986030504,50.494325330402226,24.49427320070266
0.3,5.0,0.0,560000,5,17.239566287680965,52.689134694820766,17.7247842035699,38.91590368761379,14.258448923095909,0.0,39.06455852481358,40.77319258810621,38.49910935721776,78.04136578996143,67.06744721400489
0.8,10.0,0.0,750000,5,15.661878204408456,21.040755221262856,2.6894385084272,6.736196991111417,1.332118534170183,0.0,12.505928328357054,0.0,31.035768911521572,40.18984881341544,21.472230053020205
0.7,20.0,0.0,750000,5,14.539817958414577,19.25956026139086,2.3598711514881416,7.079613454464425,0.0,0.0,0.0,0.0,27.57452986030504,44.228998245946585,24.49427320070266
0.3,20.0,0.0,400000,5,14.082400959773551,45.391540794026994,15.654569917126722,41.115640179520454,5.848069571859711,0.0,33.49550675771567,38.9975657250718,36.48680433639658,58.25070773746226,59.72711941348866
0.8,5.0,0.0,750000,5,13.913243885814765,22.17705857833757,4.131907346261402,8.817942177221996,3.57777986156221,0.0,12.505928328357054,0.0,33.06535645349795,40.18984881341544,25.124159296417403
0.4,5.0,0.0,400000,5,8.550301950403266,53.007549564686386,22.22862380714156,44.32003770286478,22.365833718559905,0.0,39.06455852481358,41.467810814202224,38.49910935721776,78.04136578996143,67.96490333723693
